WKT,name,description
"POINT (-73.93028 45.46548 0.0)",FOR5-HIGH02,
"POINT (-73.927077 45.467005 0.0)",FOR5-MED04,
"POINT (-73.926192 45.467372 0.0)",FOR5-LOW01,
"POINT (-73.772792 45.496917 0.0)",FOR2-HIGH06,
"POINT (-73.765717 45.499722 0.0)",FOR2-MED01,
"POINT (-73.762752 45.502141 0.0)",FOR2-LOW04,
"POINT (-73.734547 45.515498 0.0)",FOR3-MED03,
"POINT (-73.732012 45.515917 0.0)",FOR3-LOW03,
"POINT (-73.733593 45.516547 0.0)",FOR3-HIGH06,
"POINT (-73.502625 45.694737 0.0)",FOR6-MED01,
"POINT (-73.500228 45.690957 0.0)",FOR6-LOW02,
"POINT (-73.499101 45.690004 0.0)",FOR6-HIGH02,
"POINT (-73.534975 45.518494 0.0)",FOR8-LOW03,
"POINT (-73.534608 45.517125 0.0)",FOR8-HIGH03,
"POINT (-73.532365 45.518508 0.0)",FOR8-MED01,
"POINT (-73.557212 45.457242 0.0)",IND1-HIGH01,
"POINT (-73.558636 45.456322 0.0)",IND1-LOW04,
"POINT (-73.559009 45.455066 0.0)",IND1-MED02,
"POINT (-73.516342 45.695225 0.0)",AGR11-MED04,
"POINT (-73.513592 45.694161 0.0)",AGR11-LOW02,
"POINT (-73.54012 45.608601 0.0)",FOR11-HIGH06,
"POINT (-73.537378 45.608853 0.0)",FOR11-MED03,
"POINT (-73.534393 45.60801 0.0)",FOR11-LOW01,
"POINT (-73.639502 45.555612 0.0)",FOR4-MED02,
"POINT (-73.640628 45.554104 0.0)",FOR4-HIGH04,
"POINT (-73.639054 45.55326 0.0)",FOR4-LOW04,
"POINT (-73.593809 45.444811 0.0)",AGR1-HIGH01,
"POINT (-73.597643 45.442769 0.0)",AGR1-LOW01,
"POINT (-73.60031 45.439835 0.0)",FOR1-MED02,
"POINT (-73.603698 45.441248 0.0)",FOR1-HIGH01,
"POINT (-73.606059 45.442306 0.0)",FOR1-LOW01,
"POINT (-73.606644 45.444416 0.0)",AGR1-MED02,
"POINT (-73.562055 45.590999 0.0)",IND5-HIGH01,
"POINT (-73.560765 45.589834 0.0)",IND5-MED04,
"POINT (-73.563917 45.589764 0.0)",IND5-LOW05,
"POINT (-73.61894 45.561544 0.0)",IND6-HIGH03,
"POINT (-73.619436 45.563221 0.0)",IND6-MED01,
"POINT (-73.618952 45.563526 0.0)",IND6-LOW03,
"POINT (-73.862902 45.423229 0.0)",AGR8-LOW01,
"POINT (-73.862539 45.423341 0.0)",AGR8-HIGH05,
"POINT (-73.863248 45.42451 0.0)",AGR8-MED04,
"POINT (-73.558016 45.475488 0.0)",AGR6-LOW04,
"POINT (-73.559084 45.475184 0.0)",AGR6-MED03,
"POINT (-73.560161 45.474922 0.0)",AGR6-HIGH03,
"POINT (-73.566415 45.477658 0.0)",AGR10-MED02,
"POINT (-73.565925 45.478302 0.0)",AGR10-HIGH01,
