percan,catcan,Name,PastLandUse,geometry
1,high,Adrien-D.-Archambault,Industrial,-73.5572630926572|45.4571960447299
0.985,high,Adrien-D.-Archambault,Industrial,-73.5582243994858|45.4569178308178
1,high,Adrien-D.-Archambault,Industrial,-73.5574690922458|45.4572022921862
0.180156657963446,low,Adrien-D.-Archambault,Industrial,-73.5564389468858|45.4562008239123
0.23,low,Adrien-D.-Archambault,Industrial,-73.5577129550606|45.4569180903683
0.265,low,Adrien-D.-Archambault,Industrial,-73.5569457884098|45.4569184754004
0.237410071942446,low,Adrien-D.-Archambault,Industrial,-73.558655579785|45.4563632018651
0.22,low,Adrien-D.-Archambault,Industrial,-73.5587345360667|45.4556577790476
0.653374233128834,med,Adrien-D.-Archambault,Industrial,-73.5582032132397|45.4570907539221
0.4275,med,Adrien-D.-Archambault,Industrial,-73.5589896896637|45.4551177372216
0.563934426229508,med,Adrien-D.-Archambault,Industrial,-73.5589607184571|45.4554721909542
0.585,med,Adrien-D.-Archambault,Industrial,-73.5579686772741|45.4569179608793
0.562659846547315,med,Adrien-D.-Archambault,Industrial,-73.5572032549895|45.4570970075555
0.825,high,Angrignon,Agricultural,-73.5940054551789|45.4448359808443
1,high,Angrignon,Agricultural,-73.598607781568|45.4450120709742
1,high,Angrignon,Agricultural,-73.6001283131503|45.4423230860596
1,high,Angrignon,Agricultural,-73.602952503195|45.4441083853935
1,high,Angrignon,Agricultural,-73.5991184875635|45.4446516880552
0.229166666666667,low,Angrignon,Agricultural,-73.5971088847287|45.4458384332956
0.1825,low,Angrignon,Agricultural,-73.6044874841353|45.4446469029937
0.28,low,Angrignon,Agricultural,-73.60295577683|45.4459080868995
0.2975,low,Angrignon,Agricultural,-73.5965624361371|45.4450138183405
0.259398496240602,low,Angrignon,Agricultural,-73.5988721338249|45.4460641710975
0.7575,med,Angrignon,Agricultural,-73.6070461909302|45.445724356424
0.575,med,Angrignon,Agricultural,-73.5937503839661|45.4451961313662
0.405,med,Angrignon,Agricultural,-73.5945173910583|45.4451954992761
0.7775,med,Angrignon,Agricultural,-73.5934941203607|45.4448364005157
0.719354838709677,med,Angrignon,Agricultural,-73.5980806401895|45.441793874018
1,high,Angrignon,Forested,-73.6047324946859|45.4388876210632
1,high,Angrignon,Forested,-73.6070417662166|45.4433847445861
1,high,Angrignon,Forested,-73.6055061243831|45.4424863207619
1,high,Angrignon,Forested,-73.5978702083463|45.4398074083844
1,high,Angrignon,Forested,-73.5996190515247|45.4385322537817
0.1425,low,Angrignon,Forested,-73.5996241189069|45.4414117790378
0.145,low,Angrignon,Forested,-73.61061785102|45.4417616027357
0.29,low,Angrignon,Forested,-73.5993684670076|45.4414120017227
0.1125,low,Angrignon,Forested,-73.5985996304402|45.4403328445109
0.2525,low,Angrignon,Forested,-73.5975789036294|45.4414135444957
0.76,med,Angrignon,Forested,-73.5993672033414|45.4406921205398
0.565,med,Angrignon,Forested,-73.6075479585603|45.4406847110084
0.7575,med,Angrignon,Forested,-73.6067864449965|45.4435649540576
0.6375,med,Angrignon,Forested,-73.606523332384|45.4396058475374
0.4475,med,Angrignon,Forested,-73.6078053208079|45.4415843212454
1,high,Arthur-Therrien,Industrial,-73.5598504718793|45.465380379474
1,high,Arthur-Therrien,Industrial,-73.5598376872066|45.4657397620206
0.975,high,Arthur-Therrien,Industrial,-73.5600228565906|45.4648355773431
0.9975,high,Arthur-Therrien,Industrial,-73.5600238115472|45.4657354258482
0.815,high,Arthur-Therrien,Industrial,-73.5602791899976|45.4653753517824
0.1675,low,Arthur-Therrien,Industrial,-73.5613010613986|45.464294989066
0.1575,low,Arthur-Therrien,Industrial,-73.5605339873577|45.4644753679751
0.159533073929961,low,Arthur-Therrien,Industrial,-73.5622787705341|45.4641221943763
0.2325,low,Arthur-Therrien,Industrial,-73.5607910977402|45.4657350200825
0.15,low,Arthur-Therrien,Industrial,-73.5622157633477|45.4662716369516
0.5975,med,Arthur-Therrien,Industrial,-73.5597707122035|45.4682551350267
0.3675,med,Arthur-Therrien,Industrial,-73.5610470540529|45.4659148533625
0.675,med,Arthur-Therrien,Industrial,-73.5597703317928|45.4678951957996
0.67,med,Arthur-Therrien,Industrial,-73.5597705219972|45.468075165416
0.505,med,Arthur-Therrien,Industrial,-73.5602788063891|45.4650154123763
0.85,high,Baldwin,Industrial,-73.5626578388064|45.5346620222678
0.840336134453782,high,Baldwin,Industrial,-73.5622331517871|45.5339546247254
0.9,high,Baldwin,Industrial,-73.5636215610199|45.5345436352963
1,high,Baldwin,Industrial,-73.5630501316311|45.5342076532237
0.9325,high,Baldwin,Industrial,-73.5624021625772|45.5350220974229
0.255,low,Baldwin,Industrial,-73.5621458884026|45.5348422695318
0.298192771084337,low,Baldwin,Industrial,-73.5631741928386|45.5348294288165
0.473913043478261,med,Baldwin,Industrial,-73.5624068577756|45.5353464870969
0.6,med,Baldwin,Industrial,-73.5626574390965|45.5343020872627
