Title,Organization,Data Type,Date,Link
D1900-1 : Parcs - Administration,Archives de Montréal,Historical documentation,[18-]-[19-],https://archivesdemontreal.ica-atom.org/d1900-1-parcs-administration-18-19
D1901-18-1 : Parcs et terrains de jeux : Parc Baldwin - Historique.,Archives de Montréal,Historical documentation,[18-]-[19-],https://archivesdemontreal.ica-atom.org/d1901-18-1-parcs-et-terrains-de-jeux-parc-baldwin-historique-18-19
D1901-38-30-3 : Parcs et terrains de jeux : Parc La Fontaine - Historique - Documents.,Archives de Montréal,Historical documentation,[18-]-[19-],https://archivesdemontreal.ica-atom.org/d1901-38-30-3-parcs-et-terrains-de-jeux-parc-la-fontaine-historique-documents-18-19
D1925-2 : Parcs - Jardin botanique : Historique.,Archives de Montréal,Historical documentation,[18-]-[19-],https://archivesdemontreal.ica-atom.org/d1925-2-parcs-jardin-botanique-historique-19
D1925-3 : Parcs - Jardin botanique : Construction.,Archives de Montréal,Historical documentation,[19-],https://archivesdemontreal.ica-atom.org/d1925-3-parcs-jardin-botanique-construction-19
D3040-12-A : Ile Bizard : Général.,Archives de Montréal,Historical documentation,[19-],https://archivesdemontreal.ica-atom.org/d3040-12-a-ile-bizard-general-19
D3050-23-19 : Ville - Pierrefonds : Parcs.,Archives de Montréal,Historical documentation,[19-],https://archivesdemontreal.ica-atom.org/d3050-23-19-ville-pierrefonds-parcs-19
D1900-A-4 : Parcs et terrains de jeux - Répertoire alphabétique : Général.,Archives de Montréal,Historical documentation,Après 1957,https://archivesdemontreal.ica-atom.org/d1900-a-4-parcs-et-terrains-de-jeux-repertoire-alphabetique-general-apres-1957
D1900-A-4 : Parcs et terrains de jeux - Répertoire alphabétique : Général.,Archives de Montréal,Historical documentation,Avant 1958,https://archivesdemontreal.ica-atom.org/d1900-a-4-parcs-et-terrains-de-jeux-repertoire-alphabetique-general-avant-1958
D1901-17-1 : Parcs et terrains de jeux - Île Sainte-Hélène : Historique.,Archives de Montréal,Historical documentation,Avant 1961,https://archivesdemontreal.ica-atom.org/d1901-17-1-parcs-et-terrains-de-jeux-ile-sainte-helene-historique-avant-1961
 D1900-A-1 : Parcs et terrains de jeux : Général.                                                                                                           ,Archives de Montréal,Historical documentation,Après 1971,https://archivesdemontreal.ica-atom.org/d1900-a-4-parcs-et-terrains-de-jeux-repertoire-alphabetique-general-avant-1958
D1900-A-1 : Parcs et terrains de jeux : Général.,Archives de Montréal,Historical documentation,Avant 1972,https://archivesdemontreal.ica-atom.org/d1900-a-1-parcs-et-terrains-de-jeux-general-avant-1972
Photothèque 1930-2003,Division de la géomatique,Satellite imagery,1930-2003,https://www.arcgis.com/apps/webappviewer/index.html?id=b4d43eb1a247498c85034ef1d47bd98b
,,,,
Carte de localisation des anciennes carrières et des dépôts de surface de la Ville de Montréal,"Division Soutien Technique, Infrastructures, CESM","Historical documentation, spatial data",2023,https://www.arcgis.com/apps/webappviewer/index.html?id=eddfe22f7ef54982a6545e8eb3c86a9a
Angrignon,Personal website,Historical documentation,,https://www.angrignon.ca/gene/indexg1.html 
Analyse de la valeur patrimoniale de la Maison Jacques Richer dit Louveteau,Arrondissement Pierrefonds-Roxboro,Historical documentation,2008,http://ville.montreal.qc.ca/pls/portal/docs/PAGE/CONS_PAT_MTL_FR/MEDIA/DOCUMENTS/MAISON_JACQUES_RICHER_DIT_LOUVETEAU_JANVIER_2008.PDF
Le parc Thomas-Chapais,WWF,Historical documentation,2016,https://wwf.ca/wp-content/uploads/2016/11/Thomas-Chapais_Caract%C3%A9ristiques_%C3%A9cologiques.pdf 
Historique de Tétreaultvill,Comité citoyen du parc Thomas-Chapais,Historical documentation,,https://comitecitoyenduparcthomas-chapais.ca/historique/ 
Le Douglas: une longue histoire d’excellence,Douglas Research Centre,Historical documentation,,https://douglas.research.mcgill.ca/fr/historique/
Le boisé de Saint Sulpice,Blog,Historical documentation,2020,https://floraurbana2.blogspot.com/2020/06/le-boise-de-saint-sulpice.html
Ancien Dépotoir du Boisé de l'Heritage,Gestion des Lieux Contaiminés,Historical documentation,1987,https://drive.google.com/file/u/1/d/133JOw0GVkMOqn6vJgWIZVT55Sc44_cJn/view?usp=embed_facebook
Ancien Dépotoir Beaubien,Gestion des Lieux Contaiminés,Historical documentation,1991,https://drive.google.com/file/u/1/d/133JOw0GVkMOqn6vJgWIZVT55Sc44_cJn/view?usp=embed_facebook
Extrémité Sud et Sud-Ouest de l'Ile-des-Soeurs,Gestion des Lieux Contaiminés,Historical documentation,1991,https://drive.google.com/file/u/1/d/133JOw0GVkMOqn6vJgWIZVT55Sc44_cJn/view?usp=embed_facebook
Commission de toponymie,Gouvernement du Québec,Historical documentation,2023,https://toponymie.gouv.qc.ca/ct/
Maison Saint-Gabriel,Grand répertoire du patrimoine bati de Montréal,Historical documentation,2012,http://patrimoine.ville.montreal.qc.ca/inventaire/fiche_zone.php?affichage=fiche&civique=&voie=0&est_ouest=&appellation=&arrondissement=9&protection=0&batiment=oui&zone=oui&lignes=25&type_requete=simple&id=1176
Ancien Dépotoir du Parc Lafond,Group d'étude et de restauration des lieux d'élimination des déchets dangereux,Historical documentation,,https://drive.google.com/file/d/1egb2BQx4WXT0hOkVuG8fG3BIX-BPaGbY/view
Détection de biogaz au Parc Baldwin,Ville de Montréal,Historical map,1992,https://drive.google.com/file/u/1/d/1HkSGrBr4q5Q9qL1U4lNMLaCZb4sGQV5L/view?usp=embed_facebook
Parc-nature de l'Anse-à-l'Orme,Laboratoire d'histoire et de patrimoine de Montréal,Historical documentation,,https://chronomontreal.uqam.ca/chronologie/2154-parc-nature-de-l-anse-a-l-orme
Parc-nature du Bois-de-Liesse,Laboratoire d'histoire et de patrimoine de Montréal,Historical documentation,,https://montreal.ca/toponymie/toponymes/parc-regional-du-bois-de-liesse
History of Centennial Hall and,,,,
